Displacement:2	Points:0
1.58E-07	5.2
1.58E-07	5.208
1.59E-07	5.216
1.59E-07	5.224
1.60E-07	5.232
1.60E-07	5.24
1.60E-07	5.248
1.61E-07	5.256
1.61E-07	5.264
1.61E-07	5.272
1.62E-07	5.28
1.62E-07	5.288
1.63E-07	5.296
1.63E-07	5.304
1.63E-07	5.312
1.64E-07	5.32
1.64E-07	5.328
1.64E-07	5.336
1.65E-07	5.344
1.65E-07	5.352
1.66E-07	5.36
1.66E-07	5.368
1.66E-07	5.376
1.67E-07	5.384
1.67E-07	5.392
1.67E-07	5.4
1.68E-07	5.408
1.68E-07	5.416
1.69E-07	5.424
1.69E-07	5.432
1.69E-07	5.44
1.70E-07	5.448
1.70E-07	5.456
1.70E-07	5.464
1.71E-07	5.472
1.71E-07	5.48
1.72E-07	5.488
1.72E-07	5.496
1.72E-07	5.504
1.73E-07	5.512
1.73E-07	5.52
1.73E-07	5.528
1.74E-07	5.536
1.74E-07	5.544
1.75E-07	5.552
1.75E-07	5.56
1.75E-07	5.568
1.76E-07	5.576
1.76E-07	5.584
1.76E-07	5.592
1.77E-07	5.6
1.77E-07	5.608
1.78E-07	5.616
1.78E-07	5.624
1.78E-07	5.632
1.79E-07	5.64
1.79E-07	5.648
1.79E-07	5.656
1.80E-07	5.664
1.80E-07	5.672
1.81E-07	5.68
1.81E-07	5.688
1.81E-07	5.696
1.82E-07	5.704
1.82E-07	5.712
1.82E-07	5.72
1.83E-07	5.728
1.83E-07	5.736
1.84E-07	5.744
1.84E-07	5.752
1.84E-07	5.76
1.85E-07	5.768
1.85E-07	5.776
1.86E-07	5.784
1.86E-07	5.792
1.86E-07	5.8
1.87E-07	5.808
1.87E-07	5.816
1.87E-07	5.824
1.88E-07	5.832
1.88E-07	5.84
1.89E-07	5.848
1.89E-07	5.856
1.89E-07	5.864
1.90E-07	5.872
1.90E-07	5.88
1.90E-07	5.888
1.91E-07	5.896
1.91E-07	5.904
1.92E-07	5.912
1.92E-07	5.92
1.92E-07	5.928
1.93E-07	5.936
1.93E-07	5.944
1.94E-07	5.952
1.94E-07	5.96
1.94E-07	5.968
1.95E-07	5.976
1.95E-07	5.984
1.95E-07	5.992
1.96E-07	6
1.96E-07	6.008
1.97E-07	6.016
1.97E-07	6.024
1.97E-07	6.032
1.98E-07	6.04
1.98E-07	6.048
1.98E-07	6.056
1.99E-07	6.064
1.99E-07	6.072
2.00E-07	6.08
2.00E-07	6.088
2.00E-07	6.096
2.01E-07	6.104
2.01E-07	6.112
2.02E-07	6.12
2.02E-07	6.128
2.02E-07	6.136
2.03E-07	6.144
2.03E-07	6.152
2.03E-07	6.16
2.04E-07	6.168
2.04E-07	6.176
2.05E-07	6.184
2.05E-07	6.192
2.05E-07	6.2
2.06E-07	6.208
2.06E-07	6.216
2.06E-07	6.224
2.07E-07	6.232
2.07E-07	6.24
2.08E-07	6.248
2.08E-07	6.256
2.08E-07	6.264
2.09E-07	6.272
2.09E-07	6.28
2.10E-07	6.288
2.10E-07	6.296
2.10E-07	6.304
2.11E-07	6.312
2.11E-07	6.32
2.11E-07	6.328
2.12E-07	6.336
2.12E-07	6.344
2.13E-07	6.352
2.13E-07	6.36
2.13E-07	6.368
2.14E-07	6.376
2.14E-07	6.384
2.15E-07	6.392
2.15E-07	6.4
2.15E-07	6.408
2.16E-07	6.416
2.16E-07	6.424
2.16E-07	6.432
2.17E-07	6.44
2.17E-07	6.448
2.18E-07	6.456
2.18E-07	6.464
2.18E-07	6.472
2.19E-07	6.48
2.19E-07	6.488
2.20E-07	6.496
2.20E-07	6.504
2.20E-07	6.512
2.21E-07	6.52
2.21E-07	6.528
2.21E-07	6.536
2.22E-07	6.544
2.22E-07	6.552
2.23E-07	6.56
2.23E-07	6.568
2.23E-07	6.576
2.24E-07	6.584
2.24E-07	6.592
2.25E-07	6.6
2.25E-07	6.608
2.25E-07	6.616
2.26E-07	6.624
2.26E-07	6.632
2.26E-07	6.64
2.27E-07	6.648
2.27E-07	6.656
2.28E-07	6.664
2.28E-07	6.672
2.28E-07	6.68
2.29E-07	6.688
2.29E-07	6.696
2.30E-07	6.704
2.30E-07	6.712
2.30E-07	6.72
2.31E-07	6.728
2.31E-07	6.736
2.31E-07	6.744
2.32E-07	6.752
2.32E-07	6.76
2.33E-07	6.768
2.33E-07	6.776
2.33E-07	6.784
2.34E-07	6.792
2.34E-07	6.8
2.35E-07	6.808
2.35E-07	6.816
2.35E-07	6.824
2.36E-07	6.832
2.36E-07	6.84
2.37E-07	6.848
2.37E-07	6.856
2.37E-07	6.864
2.38E-07	6.872
2.38E-07	6.88
2.38E-07	6.888
2.39E-07	6.896
2.39E-07	6.904
2.40E-07	6.912
2.40E-07	6.92
2.40E-07	6.928
2.41E-07	6.936
2.41E-07	6.944
2.42E-07	6.952
2.42E-07	6.96
2.42E-07	6.968
2.43E-07	6.976
2.43E-07	6.984
2.43E-07	6.992
2.44E-07	7
2.44E-07	7.008
2.45E-07	7.016
2.45E-07	7.024
2.45E-07	7.032
2.46E-07	7.04
2.46E-07	7.048
